Job Title,Company,Description,Minimum Qualification,Skills Required,Skillmentequired,Location,Work Type,Years of Experience,Category,Department,DeptNorm,Url,Source
Protection Coordinator at Danish Refugee Council,Danish Refugee Council,"Overall purpose of the role:
The Protection Coordinator is technically responsible for ensuring quality protection programming and is the overall country level technical lead within the protection sector. The Protection Coordinator has the overall responsibility for providing technical and programmatic support for DRC and partners protection activities in the DRC areas of operations in Kenya. The role will include leading country level protection analysis, strategy development and implementation, providing protection sectoral technical instructon and support, technical line supervision responsibilities for protection staff and interventions that contain protection, throughout the programme / project cycle; ensure quality protection sectoral programming and compliance with protection sector standards, including leading monitoring and evaluation efforts, staff capacity building and training, development of protection tools, and development of protection related advocacy messages using evidence. The role will also support in the localization processes and strategy.
Duties & Responsibilities:
Protection sectoral technical responsibility 
Lead protection analysis efforts, the development and implementation of the country level protection strategy. 
Technically responsible for the overall protection portfolio and ensuring AGDM in protection activities. 
Oversee and lead the development, harmonisation and rollout of internal protection related tools, Standard Operating Procedures, policies, and guidelines related to DRC’s protection interventions.
Act as a reference point for other sectors’ colleagues for Protection Mainstreaming
Technical Supervision 
Technically supervise protection managers and team leaders and provide technical advice and guidance to protection staff. 
Responsible for participating in human resource processes including the recruitment of protection sectoral technical staff in country and setting performance objectives and performance appraisals for protection managers and team leaders.  
Responsible for identifying protection sectoral technical gaps and establishing capacity building plans for protection sectoral staff. 
Work closely with relevant protection staff in the development and delivery of capacity building efforts. 
Provide regular technical support and guidance to protection teams and other relevant staff in both a structured and on a case-by-case basis. 
Protection programme development, quality assurance and oversight 
Maintain oversight of overall protection programme implementation, including budgets and indicators, in close collaboration with Head of Program, Area managers, Protection Team Leads and Project Managers.
Participate in programme / project review meetings, including grant opening, grant review and close out meetings.
Review and update of technical approaches, protection SOPs.
In collaboration with the PIM/Advocacy specialist develop protection monitoring reports, and review protection monitoring tools on an annual basis or as needed.
Lead the revision of tools and SOPs for the current case management system.
Support program teams to review current referral mechanisms to link beneficiaries, particularly vulnerable individuals and groups, to services, through service mapping, referral workshops, and SOPs;
Provide regular technical trainings and capacity building to protection staff, partners, and on key DRC protection concerns and product solutions.
Coordinate with other sectors to move towards integration of protection programs wherever possible or mainstreaming of protection within other sectors where integration is not available.
Ensure protection mainstreaming including review of all programming approaches, SOPs and tools, and staff capacity development.
Organize and facilitate regular Protection team meetings across subsectors and field offices for knowledge sharing, peer support and quality improvement.
Coordinate with MEAL to support the development of MEAL tools, and accountability systems, including incorporation of feedback mechanisms for staff and beneficiaries, into program;
Oversee compilation of project related internal and external reports and communication
Coordination and Advocacy
Regular coordination and liaison with UNHCR Protection unit and/or other Protection partners and government authorities at country level.
Collaborate with relevant internal and external technical experts on issues related to relevant sector.
Represent DRC at relevant protection coordination meetings.
Actively participate in internal coordination meetings.
Along with Advocacy/PIM specialist, develop monthly protection monitoring reports for external circulation. With clear and targeted recommendations for different audiences. for
Support training on protection advocacy for local civil society and other local stakeholders.
Lead the development of protection advocacy strategies and plans.
Project development
Contribute to and coordinate the design, implementation and evaluation of Protection related programming to secure follow on or expansion funding for the protection portfolio as per identified needs and in a standardized manner across programmes.
Lead on proposal design, including activity design and budgeting, along with protection leads, where needed. Sign-off on all project proposals and budgets (related to protection activities)
Perform any other relevant tasks as requested by Line Manager.
Experience and Technical Competence
Significant knowledge of International Human Rights Law, particularly with Refugee Law and of Durable Solutions.
Minimum 7 years’ experience implementing and developing Protection programs in displacement contexts
Experience of Protection as well as Child Protection and GBV programming, Case Management and Gender.
Experience in Protection Information Management systems and tools
Experience in international humanitarian work, advocacy and policy development at national level, and of high level representation.
Experience of preparing a protection programming strategies and advocacy strategies for a complex programme covering multiple sites.
Experience in coordinating and standardizing approaches across a multi-site programme.
Experience of integrating protection with other sectors’ programming.
Experience providing remote technical guidance and developing training to suit a variety of audiences.
Demonstrated ability to conduct trainings on protection and human rights topics, including staff training.
Experience with MEAL tools. 
Education
Master’s degree in social science, Law or humanitarian aid
Key stakeholders: 
UN Agencies, coordination bodies
Government authorities and institutions
Partners
Persons of Concern
DRC Staff
Donors",,,,,Unclear,Experience and Technical Competence,,Business,Business,https://www.myjobmag.co.ke/job/protection-coordinator-danish-refugee-council-2,MyJobMag
Business Development Officer at Flexi-Personnel,Flexi-Personnel,"ROLES AND RESPONSIBILITIES:
Brand Building, Marketing & Demand Generation
Develop, align and implement the company’s marketing strategy in line with business objectives and the overall strategic plan, in collaboration with the Business Development Director and the business development team.
Manage the full marketing mix (product, pricing, channels, promotion, people, process and environment) to drive brand awareness and demand generation across target segments.
Design and manage an effective marketing channel and media mix (digital and traditional), ensuring optimal ROI and alignment with business priorities.
Execute brand building and demand generation campaigns, balancing short-term lead generation with long-term brand equity, with clearly defined annual targets and quarterly reviews.
Business Development & Lead Pipeline Management
Build, maintain and actively manage a robust prospect and lead pipeline, tracking lead stages, conversion rates and ROI from demand generation activities.
Design, implement and continuously improve a lead qualification and prioritization process to ensure effective follow-up and optimal use of resources.
Personally pursue and/or allocate qualified leads to relevant team members, escalating capacity needs to the Business Development Director where required.
Develop and maintain standardized pitch decks, company profiles and proposal templates, approved by the BD Director and ready for rapid deployment.
Customize proposals, pitches and tenders to client/prospect needs, ensuring accuracy, quality and timely submission.
Coordinate and manage client pitches, meetings and proposal presentations, ensuring appropriate resource allocation and scheduling.
Drive prospects through the full sales cycle from initial lead to contract signing and first invoice, ensuring accurate sales recording.
Grow revenue from existing clients through upselling, cross-selling and repeat business, with defined annual targets, retention plans and regular performance reviews.
Utilize CRM tools (e.g., HubSpot, Salesforce) for lead tracking and reporting.
Administration, Resources & Communications Management
Support the BD Director in planning and scaling the marketing, business development and administrative functions as the business grows, including team structure and role definition.
Manage and coordinate external suppliers for marketing, digital, media ensuring performance, value for money and service quality.
Coordinate media buying, marketing events, networking forums and promotional activities in line with brand and growth objectives.
Ensure all activities comply withal relevant laws (e.g., Kenya's Data Protection Act), company standard operating procedures, and ethical business practices.
EDUCATION, PROFESSIONAL QUALIFICATIONS AND EXPERIENCE:
Bachelor’s degree in marketing, business development, business administration or a related field with strong marketing and client service focus. An MBA in Marketing, Digital Marketing or a related field is an added advantage.
2 to 5 years of professional work experience in Sales and Business Development in the consultancy space and/or selling a service.
Proven experience in designing and implementing marketing, business development and/or communication initiatives.
Professional certifications (e.g., Google Analytics, HubSpot Inbound Marketing, or PMP) are a strong advantage.
Proficiency with sales enablement tools including CRM software (Salesforce, HubSpot, or similar), LinkedIn Sales Navigator, and other prospecting platforms.
Experience or strong aptitude with AI tools such as ChatGPT, Perplexity, Claude, or similar platforms for prospect research, company intelligence gathering, personalized message creation, and competitive analysis.
Strong digital marketing capability, with hands-on experience creating and executing strategies and campaigns across digital platforms, presenting ideas to senior stakeholders and prospects, and engaging directly with clients in the market.
Comfortable with digital technologies, including basic website setup and maintenance, desktop/laptop systems, Microsoft Office applications and mobile applications (iOS and Android).
Confident communicator with an ability to engage effectively with diverse stakeholders and seniority level professionals.
Demonstrated ability to manage customer leads and successfully convert prospects into clients.
Demonstrate ability to administer suppliers of services related to marketing, media, and communication.","Design, implement and continuously improve a lead qualification and prioritization process to ensure effective follow-up and optimal use of resources.",,,"Coordinate and manage client pitches, meetings and proposal presentations, ensuring appropriate resource allocation and scheduling.",Unclear,,"Support the BD Director in planning and scaling the marketing, business development and administrative functions as the business grows, including team structure and role definition.",Information Technology,Information Technology,https://www.myjobmag.co.ke/job/business-development-officer-flexi-personnel,MyJobMag
Declaration of Vacancies at Maseno University,Maseno University,"MSU/ACA/SAFSES/DAFS/01/26
Department of Animal and Fisheries Sciences
Requirements for Appointment
An earned PhD or equivalent degree in the relevant field from an accredited and recognized University: OR
A Master’s degree in the relevant field from an accredited and recognized university (in special cases) with at least Three (3) years’ experience at university level or in research or in industry:
A mandatory two (2) publications in refereed journal papers; and
Registered with relevant professional body (where applicable).
go to method of application »",,,,,Unclear,,,Information Technology,Information Technology,https://www.myjobmag.co.ke/jobs/declaration-of-vacancies-at-maseno-university,MyJobMag
Human Resource Manager at Adept Systems,Adept Systems,"The HR Manager will provide hands-on leadership of the day-to-day HR operations function, ensuring consistent, compliant, and high-quality HR service delivery across all sites. The role serves as the critical operational bridge between the Director of Human Resources, internal business stakeholders, a geographically distributed HR team and external HR consultants. The role requires an experienced HR practitioner who thrives in high-volume operational environments, can manage and develop an HR team, and brings the discipline to translate strategic HR direction into consistent on-the-ground execution.
Key responsibilities
Oversee and manage the full cycle of day-to-day HR operations across all sites, ensuring uniform standards and timely service delivery.
Develop, implement, and continuously improve HR operational processes, workflows, and standard operating procedures (SOPs).
Monitor HR service delivery metrics and take corrective action where performance gaps are identified.
Ensure HR administration — including contracts, onboarding, offboarding, employee records, and leave management — is executed accurately and on time.
Drive the adoption of structured HR practices as the business transitions from its prior decentralised model.
Provide day-to-day supervision, guidance, and professional development support to a geographically distributed HR team.
Coordinate workloads, set clear priorities, and maintain accountability across field-based HR officers and administrators.
Build team capability through coaching, regular performance reviews, and structured learning initiatives.
Foster a culture of service excellence, consistency, and continuous improvement within the HR team.
Act as the primary operational interface between the external HR consulting firm, the Director of Human Resources, and internal business units.
Translate strategic HR direction and frameworks from the consulting firm into actionable plans and communicate these clearly to the HR team.
Provide regular, structured HR operational updates to the Director of Human Resources and flag issues requiring strategic attention.
Collaborate with site managers and departmental heads to understand workforce needs and deliver responsive HR support.
Ensure organisational compliance with the Employment Act 2007, the Labour Relations Act, and all applicable employment regulations.
Manage employee relations matters, including grievances, disciplinary processes, and dispute resolution, ensuring procedural fairness and legal compliance.
Maintain up-to-date knowledge of evolving labour legislation and proactively advise management on implications for the business.
Oversee Collective Bargaining Agreement administration where applicable, coordinating with management on compliance obligations.
Maintain robust HR documentation, audit trails, and records management practices to support compliance and governance.
Support the effective management of a mixed workforce (casual, fixed-term, and permanent staff), including rostering, attendance, and contract administration.
Partner with line managers on performance management, probation reviews, and capability processes.
Coordinate recruitment and selection processes for operational and mid-level roles, working with the external consulting firm on senior appointments.
Oversee onboarding programmes to ensure new employees are effectively integrated into the business.
Compile and present accurate HR operational reports covering headcount, turnover, absenteeism, disciplinary trends, and compliance status.
Maintain and interrogate HR data systems to provide insights that inform decision-making at the Director level.
Identify patterns and workforce risks through data analysis and recommend proactive interventions.
Professional experience and Educational Background required
Bachelor's degree in Human Resource Management, Business Administration, or a related field. (A master’s is an added advantage.)
Membership of the Institute of Human Resource Management (IHRM) Kenya is required.
Minimum 6–8 years of progressive HR experience, with at least 3 years in an HR management or supervisory role.
Demonstrable experience managing HR operations in a large-scale, multi-site or manufacturing environment — FMCG or food production background is a strong advantage.
Proven track record managing a distributed HR team across multiple locations.
Solid, hands-on experience navigating the Kenyan labour legislative framework, including the Employment Act 2007, the Labour Relations Act, and OSHA compliance.
Experience working alongside or managing relationships with external HR consultants, service providers, or shared service functions.",,,,Proven track record managing a distributed HR team across multiple locations.,Unclear,"The HR Manager will provide hands-on leadership of the day-to-day HR operations function, ensuring consistent, compliant, and high-quality HR service delivery across all sites. The role serves as the critical operational bridge between the Director of Human Resources, internal business stakeholders, a geographically distributed HR team and external HR consultants. The role requires an experienced HR practitioner who thrives in high-volume operational environments, can manage and develop an HR team, and brings the discipline to translate strategic HR direction into consistent on-the-ground execution.","The HR Manager will provide hands-on leadership of the day-to-day HR operations function, ensuring consistent, compliant, and high-quality HR service delivery across all sites. The role serves as the critical operational bridge between the Director of Human Resources, internal business stakeholders, a geographically distributed HR team and external HR consultants. The role requires an experienced HR practitioner who thrives in high-volume operational environments, can manage and develop an HR team, and brings the discipline to translate strategic HR direction into consistent on-the-ground execution.",Business,Business,https://www.myjobmag.co.ke/job/human-resource-manager-adept-systems-4,MyJobMag
HR Manager - Marketing at British American Tobacco (BAT),British American Tobacco (BAT),"ACCOUNTABILITIES
Deliver HR generalist services across assigned Marketing & Functions in SA.
Act as a proactive partner for leadership teams, ensuring high levels of service excellence and support.
Advise managers on HR practices, policies, and procedures to strengthen business partnering.
Provide oversight of IR and ER matters, ensuring compliance and fair labour practices.
Support career development, talent management, and succession planning processes.
Facilitate performance management processes.
Drive diversity, transformation, and employment equity initiatives.
Coordinate remuneration processes (grading, salary reviews, promotions) ensuring compliance with BAT policies.
Assist in embedding HR common platforms and best practices.
Participate in HR projects impacting assigned function/market.
Manage disciplinary hearings and ensure procedural fairness.
Conduct skills and capability gap analysis and support interventions.
Lead change management activities to drive sustainable transformation.
Liaise with trade unions and employee representatives to foster effective relationships.
Review HR policies and recommend improvements to support the “Best Employer” journey.
Manage recruitment, placement, and organisational development needs.
Ensure accurate SAP data uploads.
Drive employee engagement through EVP initiatives.
Support the implementation of Employee Wellbeing programmes.
EXPERIENCE, SKILLS, KNOWLEDGE
ESSENTIAL
HR degree or equivalent.
Strong knowledge of HR best practices, HR business partnering, and labour legislation (Kenya/SSA).
Excellent communication, coaching, negotiation, and influencing skills.
Strong analytical and problem-solving capability.
Minimum 7–10 years in HR with exposure to resourcing, IR/ER, organisational development, HR service delivery, remuneration, and benefits.",,Conduct skills and capability gap analysis and support interventions.,Conduct skills and capability gap analysis and support interventions.,,Unclear,"EXPERIENCE, SKILLS, KNOWLEDGE",Deliver HR generalist services across assigned Marketing & Functions in SA.,Business,Business,https://www.myjobmag.co.ke/job/hr-manager-marketing-british-american-tobacco-bat,MyJobMag
Program Manager at Capwell Industries Ltd,Capwell Industries Ltd,"Capwell Industries is seeking a highly entrepreneurial and hands-on Program Manager to lead the operational development and scaling of the Webanda initiative. This role will take ownership of the pilot phase and work closely with Capwell’s commercial, brand and supply chain teams to build the systems required to expand the program nationally.
This is a field-intensive role requiring someone comfortable operating in informal markets, working directly with communities and building scalable systems in dynamic environments.
Key Responsibilities
Lead execution of the Webanda pilot program, taking full ownership of day-to-day operations and ensuring effective delivery on the ground
Conduct regular field visits to monitor vendor performance, ensure compliance, and identify operational improvement opportunities
Establish and manage performance tracking systems, including vendor revenue, cost control, and repayment discipline
Design and implement a structured recruitment and onboarding model for women entrepreneurs, working with community networks and ecosystem partners
Develop and deliver practical training programs covering operations, hygiene standards, and financial discipline
Drive program visibility and outreach, working closely with commercial and marketing teams to position Webanda as a scalable women empowerment initiative
Build and manage strategic partnerships with counties, community organizations, and relevant stakeholders
Develop operational systems and SOPs to support program standardization and expansion across counties
Refine the business and financing model, including unit economics and repayment structures to ensure sustainability
Monitor and report on key performance and impact metrics, including vendor productivity, compliance, retention, and overall program performance
Generate insights and recommendations to support continuous improvement and scaling of the initiative
Qualifications & Experience
Bachelor’s degree in Business, Economics, Development Studies, Entrepreneurship or a related field
2–5 years’ experience in operations, project management, startup environments, social enterprises or development programs
Experience working with micro-entrepreneurs or informal sector businesses is highly desirable
Strong project management and operational execution skills
Ability to coordinate multiple stakeholders and partnerships
Strong analytical, problem-solving and decision-making capabilities
Ability to work independently in field environments and manage multiple priorities",Qualifications & Experience,Strong project management and operational execution skills,Strong project management and operational execution skills,,Unclear,Qualifications & Experience,,Business,Business,https://www.myjobmag.co.ke/job/program-manager-capwell-industries-ltd,MyJobMag
Marketing Manager - Hospitality at Achyutam,Achyutam,"We are a hiring for the role of Marketing Manager for a Hospitality Solutions company. As a Marketing Manager, you will be responsible for developing and executing marketing strategies that strengthen the brand presence in Kenya. This role requires a strong understanding of the local hospitality industry, including hotels, safari lodges, and urban food & beverage businesses.
Key Responsibilities
Market Strategy & Execution
Develop and execute marketing strategies tailored to the Kenyan markets
Identify opportunities across key segments such as hotels, lodges, restaurants, and tourism operators
Track industry trends including tourism seasonality, domestic travel, and international visitor patterns
Brand & Local Positioning
Build a strong, recognizable brand within Kenya’s hospitality ecosystem
Ensure messaging resonates with local business owners, operators, and decision-makers
Digital & Performance Marketing
Manage digital campaigns across platforms such as Google, LinkedIn, Instagram, and Facebook (widely used in Kenya)
Optimize campaigns for lead generation and conversions
Oversee website, SEO, and email marketing initiatives
Lead Generation & B2B Growth
Drive B2B marketing initiatives targeting hotel groups, independent properties, and F&B businesses
Work closely with the sales team to generate and nurture high-quality leads
Support proposal development and client presentations
Partnerships & Industry Engagement
Build relationships with key industry bodies such as hospitality and tourism associations
Represent the company at trade events, expos, and networking forums (e.g., hospitality and tourism exhibitions in Kenya)
Develop partnerships with complementary service providers
Content & Communications
Create locally relevant content including case studies, success stories, and marketing materials
Manage PR and media engagement with regional business and hospitality publications
Team & Vendor Management
Lead internal marketing staff and coordinate with external agencies, designers, and media partners
Manage budgets effectively with a strong focus on ROI
Qualifications & Requirements
Bachelor’s degree in Marketing, Business Administration, or related field
5–8 years of experience in marketing, preferably within hospitality, tourism, or B2B services in Kenya
Strong understanding of the Kenyan market and customer behavior
Experience managing digital campaigns and using analytics tools
Proven ability to drive lead generation and business growth
Excellent communication and stakeholder management skills",Qualifications & Requirements,Excellent communication and stakeholder management skills,Excellent communication and stakeholder management skills,,Unclear,"5–8 years of experience in marketing, preferably within hospitality, tourism, or B2B services in Kenya","We are a hiring for the role of Marketing Manager for a Hospitality Solutions company. As a Marketing Manager, you will be responsible for developing and executing marketing strategies that strengthen the brand presence in Kenya. This role requires a strong understanding of the local hospitality industry, including hotels, safari lodges, and urban food & beverage businesses.",Marketing & Sales,Marketing & Sales,https://www.myjobmag.co.ke/job/marketing-manager-hospitality-achyutam,MyJobMag
"Presales Engineer (Virtualization, Server, Storage) at Sybyl Limited",Sybyl Limited,"Core Responsibilities
Hybrid Architecture Design: Develop end-to-end solutions combining On-Prem (VMware/KVM) with Hyperscaler (AWS/Azure/GCP) landing zones.
Modern Data Stack: Architect infrastructure optimized for Oracle/MSSQL and cutting-edge Vector Databasesfor AI/ML workloads.
Container Orchestration: Lead the design of OpenShift/Kubernetes clusters, specifically focusing on CSI (Storage Interface) and multi-tenant Namespace isolation.
Commercial Engineering: Full ownership of the Design BOM (Bill of Materials) and Pricing Strategies to ensure profitable, winning bids.
Tender Leadership: Act as the Lead Technical Author for RFP/Tender Responses, creating professional Architecture Diagrams that simplify complex migrations.
Strategic Alliances: Leverage and maintain deep Vendor Relationships to secure best-in-class pricing and technical support.",,,,,Unclear,,,Engineering,Engineering,https://www.myjobmag.co.ke/job/presales-engineer-virtualization-server-storage-sybyl-limited,MyJobMag
Laboratory Assistant – GMP Cell Therapy Facility at Liaison Group,Liaison Group,"Key Responsibilities
GMP & Cleanroom Operations
Assist in daily cleanroom activities (ISO-classified areas)
Perform aseptic handling under biosafety cabinets (Class II)
Maintain strict adherence to gowning and contamination control procedures
Support environmental monitoring and cleaning documentation
Maintain logbooks and batch manufacturing records
Molecular Biology & Immunology Support
DNA/RNA extraction
cDNA synthesis
Conventional PCR and RT-PCR
qPCR (Real-Time PCR)
Flow cytometry sample preparation and data acquisition
ELISA and immunoassays
Cell culture handling (primary cells preferred)
Instrument Handling
Operation of:
PCR machines
Real-Time PCR systems
Flow cytometer CO₂ incubators Centrifuges
Biosafety cabinets
Micropipettes and analytical balances
Routine calibration checks and maintenance coordination
Proper equipment usage documentation
Documentation & Compliance
Maintain SOP records
Support IQ/OQ/PQ documentation activities
Ensure traceability and data integrity
Maintain inventory of consumables and reagents
Experience Requirements
Minimum 2–5 years of hands-on laboratory experience
Prior exposure to:
PCR / RT-PCR
Flow Cytometry
Cell Culture
Experience in GMP or GLP environment is strongly preferred
Experience in handling human samples is an advantage",,,,,Unclear,Experience Requirements,,Healthcare & Medical,Healthcare & Medical,https://www.myjobmag.co.ke/job/laboratory-assistant-gmp-cell-therapy-facility-liaison-group,MyJobMag
Careers at Prime Bank Kenya,Prime Bank Kenya,"Job purpose
To oversee the support, maintenance and continuous improvement of business applications, ensuring high system availability, timely issue resolution, and effective service delivery in line with agreed SLAs and organizational requirements.
Key responsibilities:
E-Banking System – Internet Banking and Mobile Banking
User Support & Maintenance:
Provide operational assistance and support to end-users for both Internet Banking and Mobile Banking applications.
Manage user login and access permissions in both UAT and LIVE environments.
System Administration:
Maintain the integrity and confidentiality of all system data.
Manage and maintain the Live Application Server and associated services.
Ensure data replication from DC to DR is up to date.
Perform database backups and storage.
Application Maintenance & Testing:
Conduct UAT testing for product patches in UAT and LIVE environments.
Perform front-end troubleshooting and customization.
Escalate product bugs to Finacle Tech-Online Support for resolution.
Documentation & Training:
Train end-users on how to use the system effectively.
Prepare and maintain user manuals for both retail and corporate customers, ensuring alignment with bank policies and procedures.
Project Support:
Prepare Business Requirement Documents (BRDs) for Change Management requests.
Compliance & Audits:
Handle audit observations from both internal and external audits.
Alerts System
User Support & Maintenance:
Provide technical assistance and support to end-users of the Alerts System.
Manage user login and access permissions in both UAT and LIVE environments.
System Administration:
Maintain the integrity and confidentiality of all system data.
Perform application/database maintenance and housekeeping activities.
Alert Generation & Management:
Generate and distribute statements and alerts to clients.
Maintain the bank and branch codes within the system.
Issue Resolution:
Conduct front-end troubleshooting and customization.
Escalate product bugs to the designated Support Team for resolution.
Job Experience/Qualifications:
Bachelor’s degree in computer science, Information Technology, Information Systems, or a related field.
Minimum of 5–7 years’ experience in Application Support within the banking or financial services sector.
Hands-on experience supporting Internet Banking and Mobile Banking platforms.
Working knowledge of core banking systems such as Finacleor similar platforms.
Experience in database administration (e.g., SQL Server / Oracle).
Familiarity with UAT processes, change management, and ITIL service management practices.
Experience in handling audit reviews and regulatory compliance requirements.
Skills & Competencies:
Strong analytical and problem-solving skills.
Excellent troubleshooting and incident management abilities.
Knowledge of application servers, databases, and disaster recovery processes.
Strong understanding of banking operations and digital channels.
Effective communication and stakeholder management skills.
Ability to manage multiple priorities under tight deadlines.
Strong documentation and report-writing skills.
go to method of application »",,,,,Unclear,,,Information Technology,Information Technology,https://www.myjobmag.co.ke/jobs/careers-at-prime-bank-kenya,MyJobMag
EMEA Area Lead at Thermo Fisher Scientific,Thermo Fisher Scientific,"How you will make an impact:
Provide strategic direction to clinical management personnel within a geographic area.
Ensure timely execution of clinical trials with a focus on quality deliverables.
Liaise with other functional departments to ensure delivery of projects to clients.
Supervise and coordinate the functions of Clinical Management by mentoring staff in day-to- day activities and responsibilities related to the clinical deliverables.
Manage clinical management resource levels and participate in resource allocation.
Provide performance appraisals, evaluate and allocate bonuses and merit increases, as appropriate.
Ensure staff is trained and mentored according to company policies and procedures.
Assist with clinical deliverable portion of proposals and participate in client presentations.
Manage the overall budgeting activity of the assigned group(s) – annual and long-range forecast
REQUIREMENTS:
How you will get here:
Education and Experience:
Previous experience that provides the knowledge, skills, and abilities to perform the job (comparable to 10 to 15+ years).
5 to 10+ years of management responsibility
In some cases, an equivalency consisting of a combination of appropriate education, training, and/or directly related experience will be considered sufficient.",,"Previous experience that provides the knowledge, skills, and abilities to perform the job (comparable to 10 to 15+ years).","Previous experience that provides the knowledge, skills, and abilities to perform the job (comparable to 10 to 15+ years).",Manage clinical management resource levels and participate in resource allocation.,Unclear,,Liaise with other functional departments to ensure delivery of projects to clients.,Education,Education,https://www.myjobmag.co.ke/job/emea-area-lead-thermo-fisher-scientific-1,MyJobMag
Area Vice President - Africa at Habitat for Humanity International,Habitat for Humanity International,"Key Duties and Responsibilities
Manage the HFHI Africa region:
Develop and guide, in consultation with key stakeholders, the implementation of the Africa Strategic Framework and key change components.
Supervise key leadership roles including programs, human resources, business services, and resource development.
Facilitate and nurture relationships with National Organizations and boards.
Promote mutual culture of interdependence and accountability.
Grow resources for HFHI’s operations in the area.
Develop and cultivate strategic partnerships and funding relationships with external organizations, international agencies, and donors.
Cross-functionally support the work of the Terwilliger Center for Innovation in Shelter.
Position Habitat for Humanity International as a thought partner for housing. Serving as a housing advocate in the region. Host and participate in key forums and conversations to promote policies, funding, and actions to promote decent shelter for all.
Serve as the primary focal point for National Office Boards and regularly liaise with Board chairs to collaborate and strengthen shared accountability.
Provide leadership to the Africa region to contextually realize the global strategy.
Pay regular visits to the National Organizations and/or attend events/meetings for the purpose of networking and identifying issues and concerns.
Provide leadership and stewardship that supports HFHI’s Christian faith and values through active servant leadership, motivating Area Habitat staff members, serving partner families, and encouraging volunteers to follow the mission and vision of HFHI.
Minimum Requirements
Master’s degree or equivalent combination of education and experience.
5+ years of experience in the Africa region.
15+ years of program management or international development/humanitarian experience required of which 10 years was in a leadership role.
Experience leading teams and organizational change.
Outstanding oral and written communication.
Excellent organizational and interpersonal skills.",,Excellent organizational and interpersonal skills.,Excellent organizational and interpersonal skills.,,Unclear,Master’s degree or equivalent combination of education and experience.,Cross-functionally support the work of the Terwilliger Center for Innovation in Shelter.,Business,Business,https://www.myjobmag.co.ke/job/area-vice-president-africa-habitat-for-humanity-international-1,MyJobMag
Global Surge Team Roster: Emergency Risk & Compliance Advisor at International Rescue Committee,International Rescue Committee,"Major Responsibilities: 
The RCA will ensure that the risk management plan is followed rapidly and consistently in emergency responses, and that relevant risk management toolkits are made available for the response team. 
The RCA will also work closely with HR on ensuring all deployed resources receive risk awareness training, especially around reporting responsibilities and their obligations. 
Risk Management and Mitigation:
Support the Response Team Leader and SMT in conducting risk analysis with program, operations, and where relevant partners/suppliers, adopt IRC’s risk framework and proactively coordinate risk mitigation actions with program and operations.
Identify internal control gaps and ensure compliance risks are thought through and, where relevant, appropriate mitigation measures are in place.
Address and escalate any concerns in a timely manner in line with escalation procedures.
Embed risk planning with major departments (award management, finance, procurement, programming, MEAL, and others), working with the teams on how to accurately identify, assess, monitor and respond to the changing risk environments.
Update the Response Team Leader and relevant stakeholders regularly through the risk dashboard and flag areas of concern to the ERMT and senior leadership groups.
Assess risk and compliance training needs for existing staff, new joiners, and key partners and conduct awareness sessions and training on Risk Management, Fraud Awareness, Ethics, Compliance, Reporting, and other relevant topics.
Regularly review current procedures, suggest improvements, and update standards or SOPs for Risk, Compliance, and Operational Efficiency.
Utilize innovative strategies to promote a culture of risk awareness and ethical and compliant behaviours across all sites
Job Requirements:
Required
6+ years of experience in operations and program implementation in an international development environment.
Good understanding of the concept and principles guiding humanitarian work.
Demonstrable skills in identifying and supporting fraud risk management.
Experience in report writing and summarizing developments and insights for various stakeholders.
Experience working in an emergency response context or fragile states.
Demonstrated ability to work effectively as part of a small team, including in fast-paced deployment settings.
Experience in delivering training, including strengthening the capacity of key stakeholders to prevent and respond to issues.
Ability to achieve results and maintain consistent high standards of professional behavior and achievement, including when working alone.
Ability to manage stress, be flexible and accommodating in difficult and frustrating working circumstances.
Excellent communication, interpersonal, and diplomatic skills: the ability to effectively liaise with colleagues in diverse multi-cultural environments.
Solid organizational skills: the ability to be productive under pressure in a fast-paced team environment.
Fluency in English, with excellent oral and written communication skills.
Strong digital literacy: facility with MS Word, Excel, various accounting software, and email/internet software
Demonstrated ability to thrive in a matrix management environment.",,Demonstrable skills in identifying and supporting fraud risk management.,Demonstrable skills in identifying and supporting fraud risk management.,,Unclear,6+ years of experience in operations and program implementation in an international development environment.,,Law,Law,https://www.myjobmag.co.ke/job/global-surge-team-roster-emergency-risk-compliance-advisor-international-rescue-committee,MyJobMag
